FIPS,CITY,viol2017,prop2017,violChan,propChan
645400,Manhattan Beach,108.1299,2273.707,-85.96407,-352.1079
646492,Maywood,403.9633,1093.071,143.8991,-182.312
648256,Mission Viejo,57.04714,977.8409,-30.51408,-131.9466
648648,Monrovia,90.12273,2195.683,-34.81746,329.5554
648788,Montclair,446.0606,4057.548,-122.0774,-415.5747
648816,Montebello,168.4761,2511.184,-77.3235,-105.4932
648914,Monterey Park,105.9163,1594.69,-60.8853,-589.9255
649138,Moorpark,101.3688,1122.688,3.61438,184.245
649270,Moreno Valley,184.6479,2750.215,-128.7324,-497.1458
650076,Murrieta,34.18196,1145.33,-28.83462,-407.2527
650398,National City,435.6755,2305.279,-102.4366,-79.19971
650734,Needles,345.4651,4079.598,-154.735,378.1169
651182,Newport Beach,103.1554,2131.052,-24.48133,-354.446
651560,Norco,48.19955,1902.93,-133.7874,-730.3105
652526,Norwalk,242.4851,1760.108,-129.7118,-17.1322
653322,Oceanside,269.1385,2072.263,-129.0034,-534.9436
653476,Ojai,131.094,1444.106,39.76984,583.0493
653896,Ontario,170.5785,2219.627,-150.6685,-816.0684
653980,Orange,93.84132,2174.645,-28.5159,113.7788
654652,Oxnard,335.4855,2506.524,-108.4849,-724.8083
655184,Palm Desert,103.9098,3989.209,-121.7542,-444.9912
655254,Palm Springs,438.9399,4586.063,-149.8167,-1805.851
655156,Palmdale,387.9882,1606.503,-132.0196,-265.5249
655380,Palos Verdes Estates,39.18724,1039.021,-11.76261,-191.0544
655618,Paramount,374.4647,2665.087,-133.3681,-371.1433
656000,Pasadena,236.8962,2398.016,-64.90546,-206.0813
656700,Perris,65.38155,2203.594,-171.8379,-239.2332
656924,Pico Rivera,224.3145,2498.781,-83.9689,250.9465
657526,Placentia,100.3483,1445.145,-43.7193,31.00696
658072,Pomona,423.2856,2891.789,-89.63452,-27.06348
658296,Port Hueneme,275.0472,1701.348,0.8775635,-334.6982
658520,Poway,146.0294,843.2551,58.60117,-174.0915
659451,Rancho Cucamonga,160.913,2016.549,11.23274,-215.0475
659500,Rancho Mirage,70.8941,3565.462,-154.9266,-670.0527
659514,Rancho Palos Verdes,57.79272,1243.153,-37.57164,-38.45142
659587,Rancho Santa Margarita,37.26003,495.0122,-51.23732,-114.4128
659962,Redlands,154.1184,4273.662,-144.1455,-243.9106
660018,Redondo Beach,247.832,2224.008,-22.27252,-341.2549
660466,Rialto,224.7109,2321.4,-183.6297,180.2671
662000,Riverside,303.2206,2602.909,-142.8211,-656.8162
662644,Rolling Hills Estates,81.61348,1297.854,-26.87254,-16.03235
662896,Rosemead,197.7855,1993.694,-82.854,-264.0962
665000,San Bernardino,816.9625,3905.031,-428.8973,-894.5549
665084,San Clemente,84.60854,1113.48,-35.53442,-59.05408
666000,San Diego,315.793,1727.661,-82.78833,-354.3589
666070,San Dimas,176.4228,1853.476,-55.30371,-89.02161
666140,San Fernando,198.9517,1206.551,-179.7294,-843.9668
667042,San Gabriel,137.9632,1224.719,-80.63486,-334.9412
667112,San Jacinto,199.7682,4170.653,-83.07809,561.7043
668028,San Juan Capistrano,143.3577,1175.341,-36.64554,5.319336
668196,San Marcos,171.1947,1364.812,-8.21228,-225.7206
668224,San Marino,101.068,1786.592,-24.94193,118.8134
669000,Santa Ana,354.7052,1596.219,-127.3526,-559.1062
669088,Santa Clarita,155.1708,1231.471,-11.07594,-153.918
669154,Santa Fe Springs,422.7774,6818.782,-52.95999,-199.7441
670000,Santa Monica,280.4198,3190.409,-194.0141,-897.1848
670042,Santa Paula,326.4917,1443.5,13.88992,121.4553
670224,Santee,205.1971,1513.305,56.75232,11.59631
670686,Seal Beach,60.79541,2328.333,-35.97879,-66.82886
671806,Sierra Madre,102.8934,1069.808,4.906563,27.58423
671876,Signal Hill,338.0559,3836.657,-159.5846,-2890.07
672016,Simi Valley,99.29783,1354.94,-37.20274,168.0127
